,,num_critic_for_reviews,duration
,,sum,mean
color,director_name,,
Color,Clark Johnson,305.0,112.0
Color,Claude Chabrol,94.0,102.5
Color,Claude Miller,38.0,103.0
Color,Claudia Llosa,56.0,97.0
Color,Claudia Sainte-Luce,50.0,89.0
Color,Clay Kaytis,141.0,97.0
Color,Clint Eastwood,4075.0,130.42105263157896
Color,Clive Barker,203.0,86.0
Color,Cody Cameron,169.0,95.0
Color,Colin Higgins,11.0,114.0
Color,Colin Minihan,116.0,92.0
Color,Colin Strause,432.0,99.5
Color,Colin Trevorrow,915.0,105.0
Color,Collin Joseph Neal,7.0,75.0
Color,Collin Schiffli,22.0,90.0
Color,Conor McMahon,98.0,86.0
Color,Conor McPherson,90.0,86.0
Color,Corbin Bernsen,3.0,95.0
Color,Corey Grant,4.0,111.0
Color,Corey Yuen,110.0,87.0
Color,Cory Edwards,142.0,80.0
Color,Costa-Gavras,128.0,123.5
Color,Courtney Hunt,181.0,97.0
Color,Courtney Solomon,271.0,90.5
Color,Craig Bolotin,39.0,99.0
Color,Craig Brewer,159.0,116.0
Color,Craig Gillespie,913.0,113.25
Color,Craig Johnson,185.0,93.0
Color,Craig Mazin,150.0,82.0
Color,Craig Moss,45.0,81.0
Color,Craig R. Baxley,62.0,92.0
Color,Craig Zobel,286.0,90.0
Color,Cristian Mungiu,233.0,113.0
Color,Curtis Hanson,624.0,115.0
Color,Cyrus Nowrasteh,24.0,111.0
Color,Cédric Klapisch,117.0,101.0
Color,D. Stevens,6.0,94.0
Color,D.J. Caruso,835.0,108.75
Color,DJ Pooh,49.0,87.5
Color,Dagur Kári,61.0,99.0
Color,Daisy von Scherler Mayer,93.0,89.0
Color,Damian Nieman,25.0,101.0
Color,Damien Chazelle,535.0,107.0
Color,Damien Dante Wayans,83.0,88.0
Color,Damien O'Donnell,82.0,96.0
Color,Damir Catic,0.0,89.0
Color,Damon Santostefano,81.0,98.0
Color,Dan Curtis,0.0,99.0
Color,Dan Cutforth,68.0,93.0
Color,Dan Fogelman,139.0,106.0
Color,Dan Gilroy,534.0,117.0
Color,Dan Harris,73.0,111.0
Color,Dan Ireland,19.0,100.0
Color,Dan Mazer,158.0,109.0
Color,Dan O'Bannon,203.0,108.0
Color,Dan Perri,1.0,100.0
Color,Dan Reed,61.0,80.0
Color,Dan Rush,155.0,97.0
Color,Dan Scanlon,376.0,104.0
Color,Dan Trachtenberg,411.0,104.0
Color,Dan Zukovic,95.0,98.0
Color,Daniel Algrant,42.0,100.0
Color,Daniel Barber,224.0,97.0
Color,Daniel Barnz,250.0,103.5
Color,Daniel Columbie,0.0,90.0
Color,Daniel Davila,5.0,95.0
Color,Daniel Espinosa,560.0,125.33333333333333
Color,Daniel Hsia,14.0,100.0
Color,Daniel Lee,97.0,102.5
Color,Daniel Mellitz,0.0,
Color,Daniel Petrie Jr.,9.0,88.0
Color,Daniel Sackheim,95.0,106.0
Color,Daniel Schechter,15.0,87.0
Color,Daniel Stamm,311.0,87.0
Color,Daniel Taplitz,39.0,85.0
Color,Daniele Luchetti,4.0,98.0
Color,Danny Boyle,2457.0,108.75
Color,Danny Cannon,215.0,109.0
Color,Danny DeVito,215.0,112.66666666666667
Color,Danny Leiner,256.0,85.5
Color,Danny Pang,148.0,103.0
Color,Danny Perez,10.0,94.0
Color,Danny Provenzano,5.0,100.0
Color,Danny Steinmann,160.0,92.0
Color,Dany Boon,78.0,106.0
Color,Dario Argento,76.0,120.0
Color,Darnell Martin,81.0,109.0
Color,Darrell Roodt,17.0,104.0
Color,Darren Aronofsky,2002.0,110.6
Color,Darren Grant,62.0,116.0
Color,Darren Lynn Bousman,807.0,111.8
Color,Darren Stein,57.0,88.5
Color,Daryl Wein,22.0,88.0
Color,Daston Kalili,0.0,127.0
Color,Dave Borthwick,31.0,77.0
Color,Dave Carroll,10.0,92.0
Color,Dave Green,293.0,101.5
Color,Dave McKean,116.0,101.0
Color,Dave Meyers,16.0,84.0
Color,Dave Payne,21.0,88.0
Color,David Anspaugh,21.0,101.0
Color,David Atkins,84.0,95.0
Color,David Ayer,1720.0,116.66666666666667
Color,David Bowers,464.0,93.0
Color,David Boyd,10.0,113.0
Color,David Caffrey,51.0,88.0
Color,David Carson,98.0,118.0
Color,David Cronenberg,1674.0,98.83333333333333
Color,David Cross,20.0,96.0
Color,David DeCoteau,8.0,83.5
Color,David Dobkin,705.0,119.25
Color,David Duchovny,46.0,96.0
Color,David E. Talbert,52.0,96.0
Color,David F. Sandberg,159.0,81.0
Color,David Fincher,3511.0,141.9
Color,David Frankel,730.0,106.0
Color,David G. Evans,25.0,101.0
Color,David Gelb,152.0,83.0
Color,David Gordon Green,1194.0,104.375
Color,David Hackl,160.0,95.0
Color,David Hayter,59.0,91.0
Color,David Hewlett,8.0,88.0
Color,David Hunt,1.0,112.0
Color,David Jacobson,74.0,108.0
Color,David Kellogg,70.0,110.0
Color,David Koepp,998.0,99.0
Color,David LaChapelle,49.0,86.0
Color,David Lam,12.0,92.0
Color,David Lean,444.0,188.0
Color,David Leland,57.0,104.0
Color,David Lowery,78.0,102.0
Color,David Lynch,539.0,145.33333333333334
Color,David M. Matthews,5.0,
